Candidate,Party,State,District,Incumbent,Winner,Percentage of Vote,Raised,Spent,Funds Remaining
Andrew Garbarino,(R),New,York District 02 ,False,True,52.9,1743986,1612132,131854
Harry Burger,(3),New,York District 02 ,False,False,1.0,2430,594,1836
Tom Suozzi,(D),New,York District 03 ,True,True,53.2,2941006,2331302,1930681
George Santos,(R),New,York District 03 ,False,False,46.2,658883,591239,67723
Joshua Sauberman,(I),New,York District 03 ,False,False,,127,270,-2258
Kathleen Rice,(D),New,York District 04 ,True,True,52.0,1106258,1210410,189845
Douglas Tuman,(R),New,York District 04 ,False,False,47.3,134937,130995,3942
Ed Dennehy,(I),New,York District 04 ,False,False,,9031,9031,0
Gregory Meeks,(D),New,York District 05 ,True,True,99.0,2097572,1467454,781472
Amit Lal,(I),New,York District 05 ,False,False,,126,0,126
Grace Meng,(D),New,York District 06 ,True,True,62.6,1292084,1872311,395520
Thomas Zmich,(R),New,York District 06 ,False,False,37.4,133403,131278,2125
Nydia Velazquez,(D),New,York District 07 ,True,True,83.0,803217,676248,310382
Hakeem Jeffries,(D),New,York District 08 ,True,True,82.5,4168717,3293077,2145322
Yvette Clarke,(D),New,York District 09 ,True,True,81.5,1200067,1190143,71621
Jerrold Nadler,(D),New,York District 10 ,True,True,68.5,1848688,1950774,508339
Cathy Bernstein,(R),New,York District 10 ,False,False,30.1,49975,28384,21591
Jeanne Nigro,(I),New,York District 10 ,False,False,,34548,28039,3261
Michael Madrid,(L),New,York District 10 ,False,False,1.2,14326,12149,2178
Max Rose,(D),New,York District 11 ,True,False,42.0,9284434,9499242,23184
Nicole Malliotakis,(R),New,York District 11 ,False,True,57.8,3469995,3447052,22943
Kemi Akindude,(I),New,York District 11 ,False,False,,21261,14697,624
Carolyn Maloney,(D),New,York District 12 ,True,True,78.9,3067173,3059202,116416
Adriano Espaillat,(D),New,York District 13 ,True,True,86.0,1087237,1252740,102521
Lovelynn Gwinn,(R),New,York District 13 ,False,False,8.0,39384,39384,0
Alexandria Ocasio-Cortez,(D),New,York District 14 ,True,True,68.7,20664795,16735422,4297383
John C. Cummings,(R),New,York District 14 ,False,False,30.5,11140937,10947758,193228
Ritchie Torres,(D),New,York District 15 ,False,True,88.2,2194025,1804336,389690
Jamaal Bowman,(D),New,York District 16 ,False,True,82.9,2878898,2801424,77474
Mondaire Jones,(D),New,York District 17 ,False,True,54.1,2984052,2186463,797588
Maureen McArdle Schulman,(R),New,York District 17 ,False,False,39.8,54732,60084,-5327
Michael Parietti,(3),New,York District 17 ,False,False,0.9,44787,19670,25116
Sean Patrick Maloney,(D),New,York District 18 ,True,True,51.8,2556294,1718525,860002
Chele Farley,(R),New,York District 18 ,False,False,47.3,1186211,1152124,34086
Scott Smith,(I),New,York District 18 ,False,False,0.9,8718,8403,495
Antonio Delgado,(D),New,York District 19 ,True,True,51.5,5949475,2963286,3064789
Kyle Van De Water,(R),New,York District 19 ,False,False,45.9,153796,120097,33700
Paul Tonko,(D),New,York District 20 ,True,True,56.5,1541984,1418994,811660
Elizabeth Joy,(R),New,York District 20 ,False,False,43.4,370852,336845,34007
Elise Stefanik,(R),New,York District 21 ,True,True,64.4,13287248,11655936,1983541
Tedra Cobb,(D),New,York District 21 ,False,False,35.6,5586793,5593266,32848
Anthony Brindisi,(D),New,York District 22 ,True,False,,6020190,5772429,252624
Claudia Tenney,(R),New,York District 22 ,False,False,,3051777,2725893,402867
Tom Reed,(R),New,York District 23 ,True,True,57.7,3275177,3145027,182389
Tracy Mitrano,(D),New,York District 23 ,False,False,41.4,1450322,1466128,3284
John Katko,(R),New,York District 24 ,True,True,53.1,3821107,3597234,272061
Dana Balter,(D),New,York District 24 ,False,False,43.0,3212469,3230808,5647
Joseph D Morelle,(D),New,York District 25 ,True,True,59.3,1375366,1274426,160175
George Mitris,(R),New,York District 25 ,False,False,39.1,301376,279047,22329
Kevin Wilson,(L),New,York District 25 ,False,False,1.5,5128,3417,1711
Brian Higgins,(D),New,York District 26 ,True,True,69.8,1124168,984106,1111052
Chris Jacobs,(R),New,York District 27 ,True,True,59.7,2147101,2084271,62829
Nate McMurray,(D),New,York District 27 ,False,False,39.0,1150058,1097111,63761
Duane Whitmer,(L),New,York District 27 ,False,False,1.3,36056,36056,0
G K Butterfield,(D),North,Carolina District 01 ,True,True,54.2,1032869,880420,663957
Sandy Smith,(R),North,Carolina District 01 ,False,False,45.8,1458375,1437805,20570
Deborah Ross,(D),North,Carolina District 02 ,False,True,63.0,2268381,1816923,451458
Alan Swain,(R),North,Carolina District 02 ,False,False,34.8,119664,119435,229
Japheth Matemu,(L),North,Carolina District 02 ,False,False,2.2,625,54,0
Greg Murphy,(R),North,Carolina District 03 ,True,True,63.4,1767790,1505559,262231
David Price,(D),North,Carolina District 04 ,True,True,67.3,1161738,1014872,313316
Virginia Foxx,(R),North,Carolina District 05 ,True,True,66.9,1858388,1944629,2340884
David Wilson Brown,(D),North,Carolina District 05 ,False,False,31.1,61596,60668,-228
Kathy Manning,(D),North,Carolina District 06 ,False,True,62.3,2002284,1695596,312340
Lee Haywood,(R),North,Carolina District 06 ,False,False,37.7,73878,58342,15537
Jennyfer Bucardo,(I),North,Carolina District 06 ,False,False,,750,759,10
David Rouzer,(R),North,Carolina District 07 ,True,True,60.3,1628458,1038883,1428500
Christopher Ward,(D),North,Carolina District 07 ,False,False,39.6,16260,4119,7249
Richard Hudson,(R),North,Carolina District 08 ,True,True,53.3,4135872,4359009,230918
Patricia Timmons-Goodson,(D),North,Carolina District 08 ,False,False,46.7,3855743,3852668,3075
Dan Bishop,(R),North,Carolina District 09 ,True,True,55.6,4090260,4029864,60396
Cynthia Wallace,(D),North,Carolina District 09 ,False,False,44.4,811609,794300,17310
Patrick McHenry,(R),North,Carolina District 10 ,True,True,68.9,2780234,2339363,1706970
David Parker,(D),North,Carolina District 10 ,False,False,31.1,30555,30555,0
Madison Cawthorn,(R),North,Carolina District 11 ,False,True,54.5,4478970,4366783,112186
Moe Davis,(D),North,Carolina District 11 ,False,False,42.3,2251413,2148121,103292
Alma Adams,(D),North,Carolina District 12 ,True,True,100.0,824124,651883,346673
Bill Brewster,(R),North,Carolina District 12 ,False,False,,21950,16763,5187
Ted Budd,(R),North,Carolina District 13 ,True,True,68.2,2294174,1293414,1070999
Scott Huffman,(D),North,Carolina District 13 ,False,False,31.8,193334,189967,4634
Kelly Armstrong,(R),North,Dakota District 01 ,True,True,69.0,1269346,1080105,305708
Zach Raknerud,(D),North,Dakota District 01 ,False,False,27.6,28047,26029,2285
Steve Chabot,(R),Ohio,District 01 ,True,True,51.8,3177647,2861464,34508
Kate Schroder,(D),Ohio,District 01 ,False,False,44.7,4040303,4039798,505
Kevin Kahn,(L),Ohio,District 01 ,False,False,3.6,12085,8398,3687
Brad Wenstrup,(R),Ohio,District 02 ,True,True,61.1,1794354,1757078,461246
Jaime Castle,(D),Ohio,District 02 ,False,False,38.9,284197,271471,12726
Joyce Beatty,(D),Ohio,District 03 ,True,True,70.8,2237887,2540687,961442
Nicholas Moss,(I),Ohio,District 03 ,False,False,0.0,1258,1248,0
Jim Jordan,(R),Ohio,District 04 ,True,True,67.9,18313823,12945651,6113812
Chris Gibbs,(I),Ohio,District 04 ,False,False,,65807,65807,0
Bob Latta,(R),Ohio,District 05 ,True,True,68.0,1580952,1477090,719464
Nick Rubando,(D),Ohio,District 05 ,False,False,32.0,249319,247423,1996
Bill Johnson,(R),Ohio,District 06 ,True,True,74.4,1866123,1853361,858830
Shawna Roberts,(D),Ohio,District 06 ,False,False,25.6,262,574,2128
Bob Gibbs,(R),Ohio,District 07 ,True,True,67.5,791888,453928,491574
Quentin Potter,(D),Ohio,District 07 ,False,False,29.2,12976,12976,0
Brandon Lape,(L),Ohio,District 07 ,False,False,3.3,3348,2713,635
Warren Davidson,(R),Ohio,District 08 ,True,True,69.0,1016740,841533,404715
Vanessa Enoch,(D),Ohio,District 08 ,False,False,31.0,40270,37546,12877
Marcy Kaptur,(D),Ohio,District 09 ,True,True,63.1,1090395,979798,772396
Rob Weber,(R),Ohio,District 09 ,False,False,36.9,134898,123262,11636
Michael R Turner,(R),Ohio,District 10 ,True,True,58.4,1752255,1736283,77206
Desiree Tims,(D),Ohio,District 10 ,False,False,41.6,2040760,2024010,16750
Marcia Fudge,(D),Ohio,District 11 ,True,True,80.1,755787,499820,1179553
Laverne Gore,(R),Ohio,District 11 ,False,False,20.0,157044,156827,218
Troy Balderson,(R),Ohio,District 12 ,True,True,55.2,2016826,1995665,43050
Alaina Shearer,(D),Ohio,District 12 ,False,False,41.8,1033711,1025410,8301
John Stewart,(L),Ohio,District 12 ,False,False,3.0,75170,66382,-9960
Tim Ryan,(D),Ohio,District 13 ,True,True,52.5,1972446,2071454,19187
Christina Hagan,(R),Ohio,District 13 ,False,False,44.9,861723,820660,41393
David P Joyce,(R),Ohio,District 14 ,True,True,60.1,2917696,2501449,666492
Hillary O'Connor Mueri,(D),Ohio,District 14 ,False,False,39.9,579877,574646,5231
Steve Stivers,(R),Ohio,District 15 ,True,True,63.4,3004799,2293101,1121863
Joel Newby,(D),Ohio,District 15 ,False,False,36.6,55797,55797,0
Anthony Gonzalez,(R),Ohio,District 16 ,True,True,63.2,2338195,1839807,564935
Aaron Godfrey,(D),Ohio,District 16 ,False,False,36.8,60294,60430,476
Kevin Hern,(R),Oklahoma,District 01 ,True,True,63.7,1094104,830366,345198
Kojo Asamoa-Caesar,(D),Oklahoma,District 01 ,False,False,32.7,157355,173928,-5637
Markwayne Mullin,(R),Oklahoma,District 02 ,True,True,75.0,1660206,1077939,610310
Danyell Lanier,(D),Oklahoma,District 02 ,False,False,22.0,41730,41722,7
Frank D Lucas,(R),Oklahoma,District 03 ,True,True,78.5,872749,1036145,282179
Tom Cole,(R),Oklahoma,District 04 ,True,True,67.8,1812530,1753697,1277189
Mary Brannon,(D),Oklahoma,District 04 ,False,False,28.8,-2084,1599,1734
Kendra Horn,(D),Oklahoma,District 05 ,True,False,47.9,5949800,5946195,103097
Stephanie Bice,(R),Oklahoma,District 05 ,False,True,52.1,3720520,3508929,211591
Suzanne Bonamici,(D),Oregon,District 01 ,True,True,64.6,959223,864627,553346
Chris Christensen,(R),Oregon,District 01 ,False,False,35.2,144,672,0
Cliff Bentz,(R),Oregon,District 02 ,False,True,60.0,1450780,1361727,89054
Alex Spenser,(D),Oregon,District 02 ,False,False,36.9,20640,5089,15552
Earl Blumenauer,(D),Oregon,District 03 ,True,True,73.0,1813365,1948453,757345
Joanna Harbour,(R),Oregon,District 03 ,False,False,23.5,17681,14502,3179
Peter DeFazio,(D),Oregon,District 04 ,True,True,51.6,5182843,5781074,517595
Alek Skarlatos,(R),Oregon,District 04 ,False,False,46.2,5454621,5331264,123357
Kurt Schrader,(D),Oregon,District 05 ,True,True,51.9,2018692,1922073,2516499
Amy Ryan Courser,(R),Oregon,District 05 ,False,False,45.2,231624,221041,10471
Brian Fitzpatrick,(R),Pennsylvania,District 01 ,True,True,58.7,4203825,4272135,48325
Christina Finello,(D),Pennsylvania,District 01 ,False,False,41.3,2336814,2329748,7066
Brendan Boyle,(D),Pennsylvania,District 02 ,True,True,65.1,1556650,756317,1468741
Dwight Evans,(D),Pennsylvania,District 03 ,True,True,87.5,942386,781265,182602
Madeleine Dean,(D),Pennsylvania,District 04 ,True,True,56.0,1435995,1005928,574594
Kathy Barnette,(R),Pennsylvania,District 04 ,False,False,44.0,1000389,884640,115749
Joe Tarshish,(I),Pennsylvania,District 04 ,False,False,,24038,23738,300
Mary Gay Scanlon,(D),Pennsylvania,District 05 ,True,True,60.3,1455042,1350276,218679
Dasha Pruett,(R),Pennsylvania,District 05 ,False,False,39.7,105146,82437,22709
Chrissy Houlahan,(D),Pennsylvania,District 06 ,True,True,54.7,3484484,1327283,3109257
John Emmons,(R),Pennsylvania,District 06 ,False,False,45.3,608859,601390,7469
John McHugh,(I),Pennsylvania,District 06 ,False,False,,6165,4410,3242
Susan Wild,(D),Pennsylvania,District 07 ,True,True,51.7,4581056,4528267,78696
Matt Cartwright,(D),Pennsylvania,District 08 ,True,True,51.7,3885136,4144070,170866
Jim Bognet,(R),Pennsylvania,District 08 ,False,False,48.3,1519527,1386040,133487
Dan Meuser,(R),Pennsylvania,District 09 ,True,True,68.2,1071961,944010,140610
Gary Wegman,(D),Pennsylvania,District 09 ,False,False,31.8,188787,187348,1600
Scott Perry,(R),Pennsylvania,District 10 ,True,False,53.4,3956481,3839197,171329
Eugene DePasquale,(D),Pennsylvania,District 10 ,False,False,46.6,4534580,4526684,7896
Lloyd Smucker,(R),Pennsylvania,District 11 ,True,True,69.2,1349318,662704,696775
Sarah Hammond,(D),Pennsylvania,District 11 ,False,False,30.8,28733,23458,5287
Fred Keller,(R),Pennsylvania,District 12 ,True,True,71.8,1541938,1066158,475779
Lee Griffin,(D),Pennsylvania,District 12 ,False,False,28.2,45850,44571,1279
Liz Terwilliger,(L),Pennsylvania,District 12 ,False,False,,6211,5937,3121
John Joyce,(R),Pennsylvania,District 13 ,True,True,79.0,1119769,461229,718883
Todd Rowley,(D),Pennsylvania,District 13 ,False,False,21.0,60348,67527,253
Guy Reschenthaler,(R),Pennsylvania,District 14 ,True,True,67.8,2250282,1580488,687580
Bill Marx,(D),Pennsylvania,District 14 ,False,False,32.2,60403,45959,14444
Glenn Thompson,(R),Pennsylvania,District 15 ,True,True,76.3,1700061,1839073,93177
Mike Kelly,(R),Pennsylvania,District 16 ,True,True,67.2,2239488,1319340,958525
Kristy Gnibus,(D),Pennsylvania,District 16 ,False,False,32.8,584205,579453,4751
Conor Lamb,(D),Pennsylvania,District 17 ,True,True,51.1,4063114,3448850,852818
Sean Parnell,(R),Pennsylvania,District 17 ,False,False,48.9,3935774,3732399,203375
Mike Doyle,(D),Pennsylvania,District 18 ,True,True,64.6,1008711,999692,265897
Luke Negron,(R),Pennsylvania,District 18 ,False,False,35.4,57714,51666,6048
David Cicilline,(D),Rhode,Island District 01 ,True,True,70.8,1574854,1743173,529048
Jim Langevin,(D),Rhode,Island District 02 ,True,True,58.2,1102312,1422339,711473
Bob Lancia,(R),Rhode,Island District 02 ,False,False,41.5,55549,47877,7673
Joe Cunningham,(D),South,Carolina District 01 ,True,False,49.3,6941746,6993962,6372
Nancy Mace,(R),South,Carolina District 01 ,False,True,50.6,5766726,5707239,59487
Joe Wilson,(R),South,Carolina District 02 ,True,True,55.7,1648065,1723956,74366
Adair Boroughs,(D),South,Carolina District 02 ,False,False,42.6,2510526,2507664,2862
Jeff Duncan,(R),South,Carolina District 03 ,True,True,71.2,1509647,1271872,482411
Hosea Cleveland,(D),South,Carolina District 03 ,False,False,28.7,43214,45107,0
William Timmons,(R),South,Carolina District 04 ,True,True,61.6,977784,982233,8690
Kim Nelson,(D),South,Carolina District 04 ,False,False,36.9,167825,167508,317
Ralph Norman,(R),South,Carolina District 05 ,True,True,60.1,991246,859747,727939
Moe Brown,(D),South,Carolina District 05 ,False,False,39.9,480648,477295,3353
James E Clyburn,(D),South,Carolina District 06 ,True,True,68.2,3406945,2332128,1980495
Tom Rice,(R),South,Carolina District 07 ,True,True,61.8,1405738,1242208,1121354
Melissa Watson,(D),South,Carolina District 07 ,False,False,38.1,147623,147623,0
Larry Guy Hammond,(L),South,Carolina District 07 ,False,False,,199,199,0
Dusty Johnson,(R),South,Dakota District 01 ,True,True,81.8,1693504,699356,1050141
Diana Harshbarger,(R),Tennessee,District 01 ,False,True,74.8,2126946,1869100,257846
Blair Nicole Walsingham,(D),Tennessee,District 01 ,False,False,22.4,140209,134995,5215
Tim Burchett,(R),Tennessee,District 02 ,True,True,67.7,1336276,878488,593678
Renee Hoyos,(D),Tennessee,District 02 ,False,False,31.0,812784,816793,210
Chuck Fleischmann,(R),Tennessee,District 03 ,True,True,67.3,1051653,381411,1880341
Meg Gorman,(D),Tennessee,District 03 ,False,False,30.5,85843,77760,8083
Scott Desjarlais,(R),Tennessee,District 04 ,True,True,66.7,331464,392499,302649
Christopher Hale,(D),Tennessee,District 04 ,False,False,33.3,308731,302996,5735
Jim Cooper,(D),Tennessee,District 05 ,True,True,100.0,936569,1332131,272934
John Rose,(R),Tennessee,District 06 ,True,True,73.7,1050429,625688,454375
Mark Green,(R),Tennessee,District 07 ,True,True,69.9,1194960,935487,287889
Kiran Sreepada,(D),Tennessee,District 07 ,False,False,27.3,206644,207191,0
Ronald Brown,(I),Tennessee,District 07 ,False,False,2.2,1750,0,9006
Scott Vieira Jr,(I),Tennessee,District 07 ,False,False,0.6,655,1049,-197
David Kustoff,(R),Tennessee,District 08 ,True,True,68.5,1641217,999285,713832
Erika Stotts Pearson,(D),Tennessee,District 08 ,False,False,29.5,19070,15883,4137
Steve Cohen,(D),Tennessee,District 09 ,True,True,77.4,607570,457311,1216119
Charlotte Bergmann,(R),Tennessee,District 09 ,False,False,20.1,99147,100532,2566
Dennis Clark,(I),Tennessee,District 09 ,False,False,1.6,9991,9919,40
Louie Gohmert,(R),Texas,District 01 ,True,True,72.6,552915,580441,33662
Hank Gilbert,(D),Texas,District 01 ,False,False,27.4,968155,734411,233744
Dan Crenshaw,(R),Texas,District 02 ,True,True,55.6,19427865,17596329,1852715
Sima Ladjevardian,(D),Texas,District 02 ,False,False,42.8,3832697,3825287,7410
Elliott Scheirman,(L),Texas,District 02 ,False,False,1.6,15374,14296,-942
Van Taylor,(R),Texas,District 03 ,True,True,55.1,2655327,2825378,22498
Helane Seikaly,(D),Texas,District 03 ,False,False,42.9,1635185,1634843,342
