Candidate,Party,State,District,Incumbent,Winner,Percentage of Vote,Raised,Spent,Funds Remaining
Jeffrey Beeler,(R),Washington,District 01 ,False,False,41.3,61970,62279,4040
Rick Larsen,(D),Washington,District 02 ,True,True,63.2,1275127,1219489,327798
Tim Hazelo,(R),Washington,District 02 ,False,False,36.6,49478,49322,156
Jaime Herrera Beutler,(R),Washington,District 03 ,True,True,56.4,4566383,4540148,75202
Carolyn Long,(D),Washington,District 03 ,False,False,43.4,4130540,4142685,18007
Dan Newhouse,(R),Washington,District 04 ,True,True,66.3,1173464,991174,299719
Doug McKinley,(D),Washington,District 04 ,False,False,33.5,57666,54227,3440
Cathy McMorris Rodgers,(R),Washington,District 05 ,True,True,60.9,4349448,3432572,1075550
Dave Wilson,(D),Washington,District 05 ,False,False,38.9,109636,109636,0
Derek Kilmer,(D),Washington,District 06 ,True,True,59.4,2524026,2531111,2988099
Elizabeth Kreiselmaier,(R),Washington,District 06 ,False,False,40.4,156123,145108,11015
Pramila Jayapal,(D),Washington,District 07 ,True,True,83.0,2630000,1530626,1783613
Craig Keller,(R),Washington,District 07 ,False,False,16.7,2904,3703,14
Kim Schrier,(D),Washington,District 08 ,True,True,51.7,5422491,3774398,1717753
Jesse Jensen,(R),Washington,District 08 ,False,False,48.1,852396,842269,10127
Adam Smith,(D),Washington,District 09 ,True,True,74.2,1324761,930710,585828
Doug Basler,(R),Washington,District 09 ,False,False,25.7,22536,18328,4790
Marilyn Strickland,(D),Washington,District 10 ,False,True,49.6,1812659,1780633,32026
Beth Doglio,(D),Washington,District 10 ,False,False,35.7,1477678,1477678,0
David McKinley,(R),West,Virginia District 01 ,True,True,69.0,1092609,1085864,393211
Natalie Ms. Cline,(D),West,Virginia District 01 ,False,False,31.0,81032,81881,0
Alex Mooney,(R),West,Virginia District 02 ,True,True,63.1,2155978,864001,2308154
Catherine Kunkel,(D),West,Virginia District 02 ,False,False,36.9,641567,641567,0
Carol Miller,(R),West,Virginia District 03 ,True,True,71.3,869210,720796,167007
Hilary Turner,(D),West,Virginia District 03 ,False,False,28.7,99214,98769,446
Belinda Fox-Spencer,(I),West,Virginia District 03 ,False,False,,5207,5207,0
Bryan Steil,(R),Wisconsin,District 01 ,True,True,59.4,3500849,3151701,375503
Roger Polack,(D),Wisconsin,District 01 ,False,False,40.7,536228,526431,9797
Mark Pocan,(D),Wisconsin,District 02 ,True,True,69.7,1290582,1014628,851013
Peter Theron,(R),Wisconsin,District 02 ,False,False,30.3,35753,33977,4722
Ron Kind,(D),Wisconsin,District 03 ,True,True,51.4,2989262,4435403,877172
Derrick Van Orden,(R),Wisconsin,District 03 ,False,False,48.6,1962443,1948639,13804
Gwen Moore,(D),Wisconsin,District 04 ,True,True,74.7,1183995,1166739,34000
Scott Fitzgerald,(R),Wisconsin,District 05 ,False,True,60.2,1155721,968406,187315
Tom Palzewicz,(D),Wisconsin,District 05 ,False,False,39.9,370392,371799,0
Glenn Grothman,(R),Wisconsin,District 06 ,True,True,59.3,1815756,1736659,269431
Jessica King,(D),Wisconsin,District 06 ,False,False,40.7,287753,245788,41965
Tom Tiffany,(R),Wisconsin,District 07 ,True,True,60.8,2637459,2514740,122719
Tricia Zunker,(D),Wisconsin,District 07 ,False,False,39.2,1261957,1232690,29267
Mike Gallagher,(R),Wisconsin,District 08 ,True,True,64.0,3202905,2841801,1169362
Amanda Stuck,(D),Wisconsin,District 08 ,False,False,36.0,416978,399916,2165
Liz Cheney,(R),Wyoming,District 01 ,True,True,68.6,3003883,3060167,153567
Lynnette Grey Bull,(D),Wyoming,District 01 ,False,False,24.6,134597,132235,2363
